,,,,,
Lego Star Wars: The Video Game,LSW1,LSWI,Lego Star Wars 1,Lego Star Wars I,TVG (rare)
"The Chronicles of Narnia: The Lion, The Witch, and The Wardrobe",Narnia 1,,,,
Lego Star Wars II: The Original Trilogy,LSW2,LSWII,Lego Star Wars 2,Lego Star Wars II,TOT (rare)
Bionicle Heroes,Bionicle (Heroes),,,,
Transformers: The Game,Transformers,TFTG,,,
Lego Star Wars: The Complete Saga,TCS,(The) Complete Saga,LSW:TCS,,
Lego Indiana Jones: The Original Adventures,LIJ1,Lego Indy 1,,,
Lego Batman: The Videogame,LB1,Lego Batman 1,,,
The Chronicles of Narnia: Prince Caspian,Prince Caspian,Caspian,Narnia 2,,
Lego Indiana Jones 2: The Adventure Continues,LIJ2,Lego Indy 2,,,
Lego Harry Potter: Years 1-4,LHP1,LHP 1-4,Lego Harry (Potter) 1,Years 1-4,
Lego Star Wars III: The Clone Wars,LSW3,LSWIII,TCW (confusable with series itself),LSW3:TCW,
Lego Pirates of the Caribbean,LPotC,Lego Pirates,,,
Lego Harry Potter: Years 1-4,LHP2,LHP 5-7,Lego Harry (Potter) 2,Years 5-7,
Lego Batman 2: DC Super Heroes,LB2,Lego Batman 2,,,
Lego The Lord of the Rings,LLotR,,,,
Lego City Undercover,LCU,Lego City,,,
Lego Marvel Super Heroes,LMSH1,Lego Marvel 1,,,
The Lego Movie Videogame,TLMVG1,Lego Movie 1,,,
Lego The Hobbit,(Lego) Hobbit,LH (rare),,,
Lego Batman 3: Beyond Gotham,LB3,Lego Batman 3,,,
Lego Worlds,(Lego) Worlds,LW (rare),,,
Lego Jurassic World,LJW,Jurassic World,,,
Lego Marvel's Avengers,LMA,Lego Avengers,,,
Lego Dimensions,Dimensions,LD (rare),Zeus (for Year 1) or Opus (for year 2),,
Lego Star Wars: The Force Awakens,TFA (confusable with film itself),LSW:TFA,LSW4 (rare),,
The Lego Ninjago Movie Video Game,(Lego) Ninjago Movie,TLNMVG (rare),,,
Lego Marvel Super Heroes 2,LMSH2,Lego Marvel 2,,,
Lego The Incredibles,(Lego) Incredibles,LI (rare),,,
Lego DC Super Villains,LDCSV,,,,
The Lego Movie 2,TLMVG2,Lego Movie 2,,,
Lego Star Wars: The Skywalker Saga,TSS,LSW:TSS,,,
